date,rate
1694-10-01,6
1695-01-01,4.5
1695-05-01,3
1699-06-01,4.5
1716-07-01,4
1719-04-01,5
1822-06-01,4
1825-12-01,5
1827-07-01,4
1836-07-01,4.5
1836-09-01,5
1838-02-01,4
1839-05-01,5
1839-06-01,5.5
1839-08-01,6
1840-01-01,5
1842-04-01,4
1844-09-07,2.5
1845-10-16,3
1845-11-06,3.5
1846-08-27,3
1847-01-14,3.5
1847-01-21,4
1847-04-08,5
1847-08-05,5.5
1847-09-30,6
1847-10-25,8
1847-11-22,7
1847-12-02,6
1847-12-23,5
1848-01-27,4
1848-06-15,3.5
1848-11-02,3
1849-11-22,2.5
1850-12-26,3
1852-01-01,2.5
1852-04-22,2
1853-01-06,2.5
1853-01-20,3
1853-06-02,3.5
1853-09-01,4
1853-09-15,4.5
1853-09-29,5
1854-05-11,5.5
1854-08-03,4
1855-04-05,4.5
1855-05-03,4
1855-06-14,3.5
1855-09-06,4
1855-09-13,4.5
1855-09-27,5
1855-10-04,5.5
1855-10-18,7
1856-05-22,6
1856-05-29,5
1856-06-26,4.5
1856-10-02,5
1856-10-29,7
1856-11-15,7
1856-12-04,6.5
1856-12-18,6
1857-04-02,6.5
1857-06-18,6
1857-07-16,5.5
1857-10-08,6
1857-10-15,7
1857-10-19,8
1857-11-05,9
1857-11-12,10
1857-12-24,8
1858-01-07,6
1858-01-11,5
1858-01-28,4
1858-02-04,3.5
1858-02-11,3
1858-12-09,2.5
1859-04-28,3.5
1859-05-05,4.5
1859-06-02,3.5
1859-06-09,3
1859-07-14,2.5
1860-01-19,3
1860-01-31,4
1860-03-29,4.5
1860-04-12,5
1860-05-10,4.5
1860-05-24,4
1860-11-08,4.5
1860-11-13,5
1860-11-15,6
1860-11-29,5
1860-12-31,6
1861-01-07,7
1861-02-14,8
1861-03-21,7
1861-04-04,6
1861-04-11,5
1861-05-16,6
1861-08-01,5
1861-08-15,4.5
1861-08-29,4
1861-09-19,3.5
1861-11-07,3
1862-01-09,2.5
1862-05-22,3
1862-07-10,2.5
1862-07-24,2
1862-10-30,3
1863-01-15,4
1863-01-28,5
1863-02-19,4
1863-04-23,3.5
1863-04-30,3
1863-05-16,3.5
1863-05-21,4
1863-11-02,5
1863-11-05,6
1863-12-02,7
1863-12-03,8
1863-12-24,7
1864-01-20,8
1864-02-11,7
1864-02-25,6
1864-04-16,7
1864-05-02,8
1864-05-05,9
1864-05-19,8
1864-05-26,7
1864-06-16,6
1864-07-25,7
1864-08-04,8
1864-09-08,9
1864-11-10,8
1864-11-24,7
1864-12-15,6
1865-01-12,5.5
1865-01-26,5
1865-03-02,4.5
1865-03-30,4
1865-05-04,4.5
1865-05-25,4
1865-06-01,3.5
1865-06-15,3
1865-07-27,3.5
1865-08-03,4
1865-09-28,4.5
1865-10-02,5
1865-10-05,6
1865-10-07,7
1865-11-23,6
1865-12-28,7
1866-01-04,8
1866-02-22,7
1866-03-15,6
1866-05-03,7
1866-05-08,8
1866-05-11,9
1866-05-12,10
1866-08-16,8
1866-08-23,7
1866-08-30,6
1866-09-06,5
1866-09-27,4.5
1866-11-08,4
1866-12-20,3.5
1867-02-07,3
1867-05-30,2.5
1867-07-25,2
1868-11-19,2.5
1868-12-03,3
1869-04-01,4
1869-05-06,4.5
1869-06-10,4
1869-06-24,3.5
1869-07-15,3
1869-08-19,2.5
1869-11-04,3
1870-07-21,3.5
1870-07-23,4
1870-07-28,5
1870-08-04,6
1870-08-11,5.5
1870-08-18,4.5
1870-08-25,4
1870-09-01,3.5
1870-09-15,3
1870-09-29,2.5
1871-03-02,3
1871-04-13,2.5
1871-06-15,2.25
1871-07-13,2
1871-09-21,3
1871-09-28,4
1871-10-07,5
1871-11-16,4
1871-11-30,3.5
1871-12-14,3
1872-04-04,3.5
1872-04-11,4
1872-05-09,5
1872-05-30,4
1872-06-13,3.5
1872-06-20,3
1872-07-18,3.5
1872-09-18,4
1872-09-26,4.5
1872-10-03,5
1872-10-10,6
1872-11-09,7
1872-11-28,6
1872-12-12,5
1873-01-09,4.5
1873-01-23,4
1873-01-30,3.5
1873-03-26,4
1873-05-07,4.5
1873-05-10,5
1873-05-17,6
1873-06-04,7
1873-06-12,6
1873-07-10,5
1873-07-17,4.5
1873-07-24,4
1873-07-31,3.5
1873-08-21,3
1873-09-25,4
1873-09-29,5
1873-10-14,6
1873-10-18,7
1873-11-01,8
1873-11-07,9
1873-11-20,8
1873-11-27,6
1873-12-04,5
1873-12-11,4.5
1874-01-08,4
1874-01-15,3.5
1874-04-30,4
1874-05-28,3.5
1874-06-04,3
1874-06-18,2.5
1874-07-30,3
1874-08-06,4
1874-08-20,3.5
1874-08-27,3
1874-10-15,4
1874-11-16,5
1874-11-30,6
1875-01-07,5
1875-01-14,4
1875-01-28,3
1875-02-18,3.5
1875-07-08,3
1875-07-29,2.5
1875-08-12,2
1875-10-07,2.5
1875-10-14,3.5
1875-10-21,4
1875-11-18,3
1875-12-30,4
1876-01-06,5
1876-01-27,4
1876-03-23,3.5
1876-04-06,3
1876-04-20,2
1877-05-03,3
1877-07-05,2.5
1877-07-12,2
1877-08-28,3
1877-10-04,4
1877-10-11,5
1877-11-29,4
1878-01-10,3
1878-01-31,2
1878-03-28,3
1878-05-30,2.5
1878-06-27,3
1878-07-04,3.2
1878-08-01,4
1878-08-12,5
1878-10-14,6
1878-11-21,5
1879-01-16,4
1879-01-30,3
1879-03-13,2.5
1879-04-10,2
1879-11-06,3
1880-06-17,2.5
1880-12-09,3
1881-01-13,3.5
1881-02-17,3
1881-04-28,2.5
1881-08-18,3
1881-08-25,4
1881-10-06,5
1882-01-30,6
1882-02-23,5
1882-03-09,4
1882-03-23,3
1882-08-17,4
1882-09-14,5
1883-01-25,4
1883-02-15,3.5
1883-03-01,3
1883-05-10,4
1883-09-13,3.5
1883-09-27,3
1884-02-07,3.5
1884-03-13,3
1884-04-03,2.5
1884-06-19,2
1884-10-09,3
1884-10-30,4
1884-11-06,5
1885-01-29,4
1885-03-19,3.5
1885-05-07,3
1885-05-14,2.5
1885-05-28,2
1885-11-12,3
1885-12-17,4
1886-01-21,3
1886-02-18,2
1886-05-06,3
1886-06-10,2.5
1886-08-26,3.5
1886-10-21,4
1886-12-16,5
1887-02-03,4
1887-03-10,3.5
1887-03-24,3
1887-04-14,2.5
1887-04-28,2
1887-08-04,3
1887-09-01,4
1888-01-12,3.5
1888-01-19,3
1888-02-16,2.5
1888-03-15,2
1888-05-10,3
1888-06-07,2.5
1888-08-09,3
1888-09-13,4
1888-10-04,5
1889-01-10,4
1889-01-24,3.5
1889-01-31,3
1889-04-18,2.5
1889-08-08,3
1889-08-29,4
1889-09-26,5
1889-12-30,6
1890-01-20,5
1890-03-06,4.5
1890-03-13,4
1890-04-10,3.5
1890-04-17,3
1890-06-26,4
1890-07-31,5
1890-08-21,4
1890-09-25,5
1890-11-07,6
1890-12-04,5
1891-01-08,4
1891-01-22,3.5
1891-01-29,3
1891-04-16,3.5
1891-05-07,4
1891-05-14,5
1891-06-04,4
